{{c1::cricket}} - {{c2::kriket}}
{{c1::football}} - {{c2::fotbal}}
{{c1::goal}} - {{c2::branka}}
{{c1::goggles}} - {{c2::brýle (lyžařské a plavecké)}}
{{c1::golf}} - {{c2::golf}}
{{c1::hockey}} - {{c2::pozemní hokej}}
{{c1::ice hockey}} - {{c2::lední hokej}}
{{c1::motor racing}} - {{c2::motosport}}
{{c1::net}} - {{c2::síť}}
{{c1::pitch}} - {{c2::hřiště}}
{{c1::pool}} - {{c2::bazén}}
{{c1::puck}} - {{c2::puk}}
{{c1::racket}} - {{c2::raketa}}
{{c1::ring}} - {{c2::ring}}
{{c1::rink}} - {{c2::kluziště, ledová plocha}}
{{c1::rugby}} - {{c2::rugby}}
{{c1::shuttlecock}} - {{c2::badmintonový míček}}
{{c1::skates}} - {{c2::brusle}}
{{c1::stick}} - {{c2::hokejka}}
{{c1::swimming}} - {{c2::plavání}}
{{c1::tennis}} - {{c2::tenis}}
{{c1::track}} - {{c2::dráha}}
{{c1::volleyball}} - {{c2::volejbal}}
{{c1::wrestling}} - {{c2::zápas}}
{{c1::china}} - {{c2::porcelánový}}
{{c1::ground}} - {{c2::dát domácí vězení}}
{{c1::Me neither.}} - {{c2::Já také ne.}}
{{c1::on my own}} - {{c2::sám}}
{{c1::tide}} - {{c2::příliv}}
{{c1::appearance}} - {{c2::vzhled}}
{{c1::expel}} - {{c2::vyloučit}}
{{c1::bully}} - {{c2::tyran, šikanovat}}
{{c1::bullying}} - {{c2::šikana}}
{{c1::call (somebody) names}} - {{c2::nadávat (někomu)}}
{{c1::carry on}} - {{c2::pokračovat}}
{{c1::come up to}} - {{c2::přijít k}}
{{c1::cyber-bullying}} - {{c2::šikana po internetu}}
{{c1::grab}} - {{c2::popadnout}}
{{c1::ignore}} - {{c2::ignorovat, nevšímat si}}
{{c1::in the end}} - {{c2::nakonec}}
{{c1::move house}} - {{c2::přestěhovat se}}
{{c1::naturally}} - {{c2::přirozeně}}
{{c1::personality}} - {{c2::osobnost}}
{{c1::punch}} - {{c2::dát pěstí}}
{{c1::religion}} - {{c2::náboženství}}
{{c1::verbal}} - {{c2::slovní}}
{{c1::victim}} - {{c2::oběť}}
{{c1::clarification}} - {{c2::vysvětlení}}
{{c1::croissant}} - {{c2::croissant}}
{{c1::give a talk}} - {{c2::přednášet, mít prezentaci}}
{{c1::Pardon?}} - {{c2::Prosím?}}
{{c1::whereabouts}} - {{c2::místo (pobytu)}}
{{c1::a couple (of)}} - {{c2::několik}}
{{c1::equipment}} - {{c2::vybavení}}
{{c1::head}} - {{c2::hlavičkovat}}
{{c1::I adore...}} - {{c2::Zbožňuji...}}
{{c1::I can't stand...}} - {{c2::Nemohu vystát...}}
{{c1::I don't mind...}} - {{c2::Nevadí mi...}}
{{c1::I'm not interested in...}} - {{c2::Nemám zájem o...}}
{{c1::I'm really into...}} - {{c2::Jsem zapálený pro...}}
{{c1::keep fit}} - {{c2::udržovat se v kondici}}
{{c1::player}} - {{c2::hráč}}
{{c1::point}} - {{c2::bod}}
{{c1::referee}} - {{c2::rozhodčí}}
{{c1::roller coaster}} - {{c2::horská dráha}}
{{c1::score}} - {{c2::dosáhnout, skórovat}}
{{c1::set}} - {{c2::set}}
{{c1::alley}} - {{c2::dráha}}
{{c1::athletics}} - {{c2::atletika}}
{{c1::badminton}} - {{c2::badminton}}
{{c1::basketball}} - {{c2::basketbal}}
{{c1::bat}} - {{c2::pálka}}
{{c1::bowling}} - {{c2::bowling}}
{{c1::club}} - {{c2::hůl}}
{{c1::course}} - {{c2::hřiště (golfové)}}
{{c1::court}} - {{c2::kurt}}
